Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      6.00     0.00     1460     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::end() const
  0.00      6.00     0.00     1460     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::begin() const
  0.00      6.00     0.00     1202     0.00     0.00  std::vector<RouteRequest, std::allocator<RouteRequest> >::size() const
  0.00      6.00     0.00     1201     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_Alloc_hider::_Alloc_hider(char*, std::allocator<char> const&)
  0.00      6.00     0.00     1201     0.00     0.00  std::__size_to_integer(unsigned long)
  0.00      6.00     0.00     1200     0.00     0.00  checksum_label(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      6.00     0.00     1200     0.00     0.00  format_route_label[abi:cxx11](RouteRequest const&, int)
  0.00      6.00     0.00     1200     0.00     0.00  std::vector<RouteRequest, std::allocator<RouteRequest> >::end() const
  0.00      6.00     0.00     1200     0.00     0.00  std::vector<RouteRequest, std::allocator<RouteRequest> >::begin() const
  0.00      6.00     0.00     1200     0.00     0.00  std::vector<RouteRequest, std::allocator<RouteRequest> >::empty() const
  0.00      6.00     0.00     1200     0.00     0.00  std::vector<RouteRequest, std::allocator<RouteRequest> >::operator[](unsigned long) const
  0.00      6.00     0.00     1200     0.00     0.00  std::_Vector_base<Point, std::allocator<Point> >::_M_allocate(unsigned long)
  0.00      6.00     0.00     1200     0.00     0.00  std::_Vector_base<Point, std::allocator<Point> >::_Vector_impl::_Vector_impl(std::allocator<Point> const&)
  0.00      6.00     0.00     1200     0.00     0.00  std::_Vector_base<Point, std::allocator<Point> >::_Vector_impl::~_Vector_impl()
  0.00      6.00     0.00     1200     0.00     0.00  std::_Vector_base<Point, std::allocator<Point> >::_M_deallocate(Point*, unsigned long)
  0.00      6.00     0.00     1200     0.00     0.00  std::_Vector_base<Point, std::allocator<Point> >::_M_create_storage(unsigned long)
  0.00      6.00     0.00     1200     0.00     0.00  std::_Vector_base<Point, std::allocator<Point> >::_Vector_impl_data::_Vector_impl_data()
  0.00      6.00     0.00     1200     0.00     0.00  std::_Vector_base<Point, std::allocator<Point> >::_Vector_base(unsigned long, std::allocator<Point> const&)
  0.00      6.00     0.00     1200     0.00     0.00  std::_Vector_base<Point, std::allocator<Point> >::~_Vector_base()
  0.00      6.00     0.00     1200     0.00     0.00  std::__new_allocator<Point>::deallocate(Point*, unsigned long)
  0.00      6.00     0.00     1200     0.00     0.00  std::__new_allocator<Point>::allocate(unsigned long, void const*)
